[2025-11-20 16:13:12] === 系统启动 ===
[2025-11-20 16:16:05] === 系统启动 ===
[2025-11-20 16:16:59] 📊 K线收盘 | Open: 3022.67 | Close: 3027.64 | RSI: 40.7
[2025-11-20 16:16:59] 🔄 新交易日开始 (2025-11-20) | 重置每日盈亏: 0.00 -> 0.00
[2025-11-20 16:17:59] 📊 K线收盘 | Open: 3027.65 | Close: 3033.41 | RSI: 51.1
[2025-11-20 16:18:59] 📊 K线收盘 | Open: 3033.41 | Close: 3033.81 | RSI: 51.7
[2025-11-20 16:19:59] 📊 K线收盘 | Open: 3033.8 | Close: 3034.57 | RSI: 52.9
[2025-11-20 16:20:59] 📊 K线收盘 | Open: 3034.58 | Close: 3036.0 | RSI: 55.3
[2025-11-20 16:21:59] 📊 K线收盘 | Open: 3035.99 | Close: 3037.03 | RSI: 56.9
[2025-11-20 16:22:59] 📊 K线收盘 | Open: 3037.04 | Close: 3037.95 | RSI: 58.4
[2025-11-20 16:23:59] 📊 K线收盘 | Open: 3037.95 | Close: 3032.2 | RSI: 47.4
[2025-11-20 16:24:59] 📊 K线收盘 | Open: 3032.21 | Close: 3031.26 | RSI: 45.9
[2025-11-20 16:25:59] 📊 K线收盘 | Open: 3031.27 | Close: 3030.35 | RSI: 44.4
[2025-11-20 16:26:59] 📊 K线收盘 | Open: 3030.35 | Close: 3030.88 | RSI: 45.5
[2025-11-20 16:27:59] 📊 K线收盘 | Open: 3030.89 | Close: 3031.47 | RSI: 46.8
[2025-11-20 16:28:59] 📊 K线收盘 | Open: 3031.47 | Close: 3033.87 | RSI: 51.7
[2025-11-20 16:29:59] 📊 K线收盘 | Open: 3033.87 | Close: 3034.79 | RSI: 53.5
[2025-11-20 16:30:59] 📊 K线收盘 | Open: 3034.79 | Close: 3034.88 | RSI: 53.7
[2025-11-20 16:31:59] 📊 K线收盘 | Open: 3034.87 | Close: 3030.99 | RSI: 45.5
[2025-11-20 16:32:59] 📊 K线收盘 | Open: 3030.99 | Close: 3030.78 | RSI: 45.1
[2025-11-20 16:33:59] 📊 K线收盘 | Open: 3030.79 | Close: 3031.61 | RSI: 47.1
[2025-11-20 16:34:59] 📊 K线收盘 | Open: 3031.62 | Close: 3033.74 | RSI: 51.9
[2025-11-20 16:35:59] 📊 K线收盘 | Open: 3033.74 | Close: 3034.84 | RSI: 54.2
[2025-11-20 16:36:59] 📊 K线收盘 | Open: 3034.85 | Close: 3034.88 | RSI: 54.3
[2025-11-20 16:37:59] 📊 K线收盘 | Open: 3034.87 | Close: 3036.22 | RSI: 57.2
[2025-11-20 16:38:59] 📊 K线收盘 | Open: 3036.21 | Close: 3036.33 | RSI: 57.4
[2025-11-20 16:39:59] 📊 K线收盘 | Open: 3036.34 | Close: 3033.76 | RSI: 50.3
[2025-11-20 16:40:59] 📊 K线收盘 | Open: 3033.76 | Close: 3033.21 | RSI: 49.0
[2025-11-20 16:41:59] 📊 K线收盘 | Open: 3033.21 | Close: 3034.16 | RSI: 51.4
[2025-11-20 16:42:59] 📊 K线收盘 | Open: 3034.17 | Close: 3035.32 | RSI: 54.4
[2025-11-20 16:43:59] 📊 K线收盘 | Open: 3035.32 | Close: 3032.55 | RSI: 47.1
[2025-11-20 16:44:59] 📊 K线收盘 | Open: 3032.55 | Close: 3033.42 | RSI: 49.4
[2025-11-20 16:45:59] 📊 K线收盘 | Open: 3033.43 | Close: 3033.84 | RSI: 50.5
[2025-11-20 16:47:00] 📊 K线收盘 | Open: 3033.83 | Close: 3035.6 | RSI: 55.0
[2025-11-20 16:47:59] 📊 K线收盘 | Open: 3035.61 | Close: 3035.62 | RSI: 55.0
[2025-11-20 16:48:59] 📊 K线收盘 | Open: 3035.63 | Close: 3032.4 | RSI: 46.2
[2025-11-20 16:49:59] 📊 K线收盘 | Open: 3032.4 | Close: 3033.55 | RSI: 49.3
[2025-11-20 16:50:59] 📊 K线收盘 | Open: 3033.54 | Close: 3031.88 | RSI: 45.2
[2025-11-20 16:51:59] 📊 K线收盘 | Open: 3031.87 | Close: 3031.29 | RSI: 43.8
[2025-11-20 16:52:59] 📊 K线收盘 | Open: 3031.3 | Close: 3031.32 | RSI: 43.9
[2025-11-20 16:53:59] 📊 K线收盘 | Open: 3031.33 | Close: 3032.77 | RSI: 48.4
[2025-11-20 16:54:59] 📊 K线收盘 | Open: 3032.77 | Close: 3032.14 | RSI: 46.7
[2025-11-20 16:55:59] 📊 K线收盘 | Open: 3032.13 | Close: 3028.39 | RSI: 37.8
[2025-11-20 16:56:59] 📊 K线收盘 | Open: 3028.38 | Close: 3029.19 | RSI: 40.4
[2025-11-20 16:57:59] 📊 K线收盘 | Open: 3029.18 | Close: 3029.89 | RSI: 42.7
[2025-11-20 16:58:59] 📊 K线收盘 | Open: 3029.88 | Close: 3029.65 | RSI: 42.1
[2025-11-20 16:59:59] 📊 K线收盘 | Open: 3029.65 | Close: 3029.33 | RSI: 41.3
[2025-11-20 17:00:59] 📊 K线收盘 | Open: 3029.33 | Close: 3029.21 | RSI: 41.0
[2025-11-20 17:01:59] 📊 K线收盘 | Open: 3029.21 | Close: 3028.59 | RSI: 39.3
[2025-11-20 17:02:59] 📊 K线收盘 | Open: 3028.6 | Close: 3028.34 | RSI: 38.6
[2025-11-20 17:03:59] 📊 K线收盘 | Open: 3028.34 | Close: 3024.69 | RSI: 30.2
[2025-11-20 17:04:59] 📊 K线收盘 | Open: 3024.68 | Close: 3024.49 | RSI: 29.8
[2025-11-20 17:05:59] 📊 K线收盘 | Open: 3024.49 | Close: 3024.56 | RSI: 30.1
[2025-11-20 17:06:59] 📊 K线收盘 | Open: 3024.57 | Close: 3025.53 | RSI: 34.8
[2025-11-20 17:07:59] 📊 K线收盘 | Open: 3025.53 | Close: 3026.79 | RSI: 40.3
[2025-11-20 17:08:59] 📊 K线收盘 | Open: 3026.79 | Close: 3026.99 | RSI: 41.1
[2025-11-20 17:09:59] 📊 K线收盘 | Open: 3026.99 | Close: 3028.85 | RSI: 48.5
[2025-11-20 17:10:59] 📊 K线收盘 | Open: 3028.84 | Close: 3029.65 | RSI: 51.3
[2025-11-20 17:11:59] 📊 K线收盘 | Open: 3029.66 | Close: 3031.55 | RSI: 57.3
[2025-11-20 17:12:59] 📊 K线收盘 | Open: 3031.56 | Close: 3031.74 | RSI: 57.9
[2025-11-20 17:13:59] 📊 K线收盘 | Open: 3031.74 | Close: 3030.09 | RSI: 51.6
[2025-11-20 17:14:59] 📊 K线收盘 | Open: 3030.09 | Close: 3029.82 | RSI: 50.6
[2025-11-20 17:15:59] 📊 K线收盘 | Open: 3029.82 | Close: 3025.86 | RSI: 39.0
[2025-11-20 17:16:59] 📊 K线收盘 | Open: 3025.86 | Close: 3028.18 | RSI: 46.7
[2025-11-20 17:17:59] 📊 K线收盘 | Open: 3028.18 | Close: 3027.72 | RSI: 45.5
[2025-11-20 17:18:59] 📊 K线收盘 | Open: 3027.72 | Close: 3023.51 | RSI: 36.1
[2025-11-20 17:19:59] 📊 K线收盘 | Open: 3023.5 | Close: 3021.94 | RSI: 33.4
[2025-11-20 17:20:59] 📊 K线收盘 | Open: 3021.94 | Close: 3022.13 | RSI: 34.0
[2025-11-20 17:21:59] 📊 K线收盘 | Open: 3022.14 | Close: 3018.86 | RSI: 28.8
[2025-11-20 17:22:59] 📊 K线收盘 | Open: 3018.86 | Close: 3017.69 | RSI: 27.2
[2025-11-20 17:23:59] 📊 K线收盘 | Open: 3017.7 | Close: 3018.39 | RSI: 29.7
[2025-11-20 17:24:59] 📊 K线收盘 | Open: 3018.39 | Close: 3019.37 | RSI: 33.2
[2025-11-20 17:25:59] 📊 K线收盘 | Open: 3019.37 | Close: 3017.5 | RSI: 30.1
[2025-11-20 17:26:59] 📊 K线收盘 | Open: 3017.49 | Close: 3016.95 | RSI: 29.3
[2025-11-20 17:27:59] 📊 K线收盘 | Open: 3016.96 | Close: 3013.48 | RSI: 24.5
[2025-11-20 17:27:59] 👀 发现 LONG 机会 | RSI=24.5 | 巨型=False | 计划投入: 10U
[2025-11-20 17:28:15] 🚀 触发交易! 方向: LONG | 价格: 3012.36 | 金额: 10U | 结算时间: 17:38:15
[2025-11-20 17:28:59] 📊 K线收盘 | Open: 3013.48 | Close: 3012.99 | RSI: 23.9
[2025-11-20 17:28:59] 👀 发现 LONG 机会 | RSI=23.9 | 巨型=False | 计划投入: 10U
[2025-11-20 17:29:21] 🚀 触发交易! 方向: LONG | 价格: 3010.89 | 金额: 10U | 结算时间: 17:39:21
[2025-11-20 17:29:59] 📊 K线收盘 | Open: 3013.0 | Close: 3012.77 | RSI: 23.6
[2025-11-20 17:29:59] 👀 发现 LONG 机会 | RSI=23.6 | 巨型=False | 计划投入: 10U
[2025-11-20 17:30:59] 📊 K线收盘 | Open: 3012.77 | Close: 3012.81 | RSI: 23.8
[2025-11-20 17:30:59] 👀 发现 LONG 机会 | RSI=23.8 | 巨型=False | 计划投入: 10U
[2025-11-20 17:31:59] 📊 K线收盘 | Open: 3012.81 | Close: 3014.02 | RSI: 29.0
[2025-11-20 17:32:59] 📊 K线收盘 | Open: 3014.02 | Close: 3013.96 | RSI: 28.9
[2025-11-20 17:33:59] 📊 K线收盘 | Open: 3013.96 | Close: 3014.71 | RSI: 32.2
[2025-11-20 17:34:59] 📊 K线收盘 | Open: 3014.71 | Close: 3015.68 | RSI: 36.4
[2025-11-20 17:35:59] 📊 K线收盘 | Open: 3015.68 | Close: 3014.1 | RSI: 32.9
[2025-11-20 17:36:59] 📊 K线收盘 | Open: 3014.11 | Close: 3013.98 | RSI: 32.6
[2025-11-20 17:37:59] 📊 K线收盘 | Open: 3013.99 | Close: 3012.23 | RSI: 29.0
[2025-11-20 17:38:15] 🏁 交易结算 #1 | LONG | 投入: 10U | 盈亏: -10.0U | 🔴 输
