entry_time,type,entry_price,exit_time,exit_price,result,profit_unit
2025-08-24 04:39:00,LONG,4743.35,2025-08-24 04:49:00,4749.08,WIN,0.8
2025-08-24 17:09:00,LONG,4770.40,2025-08-24 17:19:00,4767.97,LOSS,-1.0
2025-09-04 05:17:00,SHORT,4467.41,2025-09-04 05:27:00,4470.24,LOSS,-1.0
2025-09-06 11:22:00,SHORT,4321.55,2025-09-06 11:32:00,4316.88,WIN,0.8
2025-09-06 11:23:00,SHORT,4321.92,2025-09-06 11:33:00,4315.99,WIN,0.8
2025-09-06 11:26:00,SHORT,4322.56,2025-09-06 11:36:00,4317.71,WIN,0.8
2025-09-06 12:07:00,LONG,4313.48,2025-09-06 12:17:00,4307.79,LOSS,-1.0
2025-09-06 12:08:00,LONG,4312.45,2025-09-06 12:18:00,4308.49,LOSS,-1.0
2025-09-06 12:09:00,LONG,4311.14,2025-09-06 12:19:00,4308.56,LOSS,-1.0
2025-09-06 12:30:00,LONG,4305.70,2025-09-06 12:40:00,4306.61,WIN,0.8
2025-09-06 12:31:00,LONG,4305.48,2025-09-06 12:41:00,4307.84,WIN,0.8
2025-09-06 12:32:00,LONG,4305.08,2025-09-06 12:42:00,4307.53,WIN,0.8
2025-09-06 12:33:00,LONG,4303.02,2025-09-06 12:43:00,4306.70,WIN,0.8
2025-09-06 12:34:00,LONG,4301.97,2025-09-06 12:44:00,4306.07,WIN,0.8
2025-09-06 12:36:00,LONG,4302.37,2025-09-06 12:46:00,4305.58,WIN,0.8
2025-09-06 15:12:00,SHORT,4303.79,2025-09-06 15:22:00,4302.00,WIN,0.8
2025-09-06 15:13:00,SHORT,4305.28,2025-09-06 15:23:00,4304.19,WIN,0.8
2025-09-06 15:14:00,SHORT,4305.89,2025-09-06 15:24:00,4303.30,WIN,0.8
2025-09-06 15:15:00,SHORT,4306.50,2025-09-06 15:25:00,4303.06,WIN,0.8
2025-09-06 15:36:00,SHORT,4305.87,2025-09-06 15:46:00,4305.59,WIN,0.8
2025-09-06 15:44:00,SHORT,4307.52,2025-09-06 15:54:00,4308.63,LOSS,-1.0
2025-09-06 15:45:00,SHORT,4307.62,2025-09-06 15:55:00,4308.86,LOSS,-1.0
2025-09-06 15:48:00,SHORT,4308.08,2025-09-06 15:58:00,4310.24,LOSS,-1.0
2025-09-06 15:49:00,SHORT,4310.71,2025-09-06 15:59:00,4310.36,WIN,0.8
2025-09-06 16:35:00,SHORT,4309.99,2025-09-06 16:45:00,4309.99,LOSS,-1.0
2025-09-06 16:37:00,SHORT,4310.57,2025-09-06 16:47:00,4309.61,WIN,0.8
2025-09-06 16:38:00,SHORT,4311.27,2025-09-06 16:48:00,4309.52,WIN,0.8
2025-09-06 17:02:00,LONG,4304.50,2025-09-06 17:12:00,4297.87,LOSS,-1.0
2025-09-06 17:03:00,LONG,4304.35,2025-09-06 17:13:00,4294.71,LOSS,-1.0
2025-09-06 17:04:00,LONG,4301.67,2025-09-06 17:14:00,4295.30,LOSS,-1.0
2025-09-06 17:05:00,LONG,4301.80,2025-09-06 17:15:00,4295.78,LOSS,-1.0
2025-09-06 18:21:00,LONG,4289.70,2025-09-06 18:31:00,4292.09,WIN,0.8
2025-09-06 18:22:00,LONG,4287.08,2025-09-06 18:32:00,4293.60,WIN,0.8
2025-09-06 18:23:00,LONG,4288.12,2025-09-06 18:33:00,4296.00,WIN,0.8
2025-09-06 18:24:00,LONG,4287.48,2025-09-06 18:34:00,4297.03,WIN,0.8
2025-09-06 21:31:00,LONG,4295.12,2025-09-06 21:41:00,4292.01,LOSS,-1.0
2025-09-06 21:32:00,LONG,4293.13,2025-09-06 21:42:00,4290.21,LOSS,-1.0
2025-09-06 21:33:00,LONG,4290.11,2025-09-06 21:43:00,4290.00,LOSS,-1.0
2025-09-06 21:34:00,LONG,4292.07,2025-09-06 21:44:00,4289.72,LOSS,-1.0
2025-09-06 21:37:00,LONG,4290.39,2025-09-06 21:47:00,4291.27,WIN,0.8
2025-09-06 21:38:00,LONG,4289.63,2025-09-06 21:48:00,4288.00,LOSS,-1.0
2025-09-06 22:34:00,LONG,4290.72,2025-09-06 22:44:00,4298.22,WIN,0.8
2025-09-07 05:34:00,SHORT,4275.08,2025-09-07 05:44:00,4270.85,WIN,0.8
2025-09-07 05:35:00,SHORT,4275.64,2025-09-07 05:45:00,4271.10,WIN,0.8
2025-09-07 05:38:00,LONG,4270.00,2025-09-07 05:48:00,4272.39,WIN,0.8
2025-09-07 05:39:00,LONG,4269.01,2025-09-07 05:49:00,4274.79,WIN,0.8
2025-09-07 07:44:00,LONG,4274.00,2025-09-07 07:54:00,4270.41,LOSS,-1.0
2025-09-07 07:45:00,LONG,4273.27,2025-09-07 07:55:00,4270.44,LOSS,-1.0
2025-09-07 07:46:00,LONG,4272.10,2025-09-07 07:56:00,4270.03,LOSS,-1.0
2025-09-07 07:47:00,LONG,4271.60,2025-09-07 07:57:00,4272.00,WIN,0.8
2025-09-07 07:48:00,LONG,4271.21,2025-09-07 07:58:00,4272.44,WIN,0.8
2025-09-07 08:30:00,LONG,4272.56,2025-09-07 08:40:00,4278.13,WIN,0.8
2025-09-07 08:31:00,LONG,4271.24,2025-09-07 08:41:00,4279.00,WIN,0.8
2025-09-07 08:32:00,LONG,4270.18,2025-09-07 08:42:00,4281.42,WIN,0.8
2025-09-07 08:34:00,LONG,4270.27,2025-09-07 08:44:00,4280.92,WIN,0.8
2025-09-07 12:51:00,SHORT,4300.00,2025-09-07 13:01:00,4298.91,WIN,0.8
2025-09-07 12:52:00,SHORT,4300.20,2025-09-07 13:02:00,4298.01,WIN,0.8
2025-09-07 12:53:00,SHORT,4300.92,2025-09-07 13:03:00,4299.48,WIN,0.8
2025-09-07 14:12:00,LONG,4290.07,2025-09-07 14:22:00,4287.10,LOSS,-1.0
2025-09-07 14:13:00,LONG,4289.77,2025-09-07 14:23:00,4287.54,LOSS,-1.0
2025-09-07 14:14:00,LONG,4288.80,2025-09-07 14:24:00,4287.53,LOSS,-1.0
2025-09-07 14:15:00,LONG,4288.76,2025-09-07 14:25:00,4287.79,LOSS,-1.0
2025-09-07 14:17:00,LONG,4288.24,2025-09-07 14:27:00,4288.83,WIN,0.8
