entry_time,type,entry_price,exit_price,profit,profit_pct,reason
2025-08-24 04:38:00,LONG,4750.05,4749.52,-0.53,-0.01%,Take Profit
2025-08-24 17:02:00,SHORT,4777.41,4775.49,1.92,0.04%,Take Profit
2025-08-24 17:08:00,LONG,4772.38,4762.83,-9.54,-0.20%,Stop Loss
2025-09-04 05:14:00,SHORT,4464.26,4461.89,2.38,0.05%,Take Profit
2025-09-04 05:16:00,SHORT,4465.18,4462.13,3.05,0.07%,Take Profit
2025-09-04 05:18:00,SHORT,4466.10,4467.13,-1.04,-0.02%,Take Profit
2025-09-05 14:00:00,LONG,4334.51,4336.69,2.18,0.05%,Take Profit
2025-09-05 14:04:00,LONG,4333.70,4336.65,2.95,0.07%,Take Profit
2025-09-05 14:07:00,SHORT,4339.24,4336.34,2.89,0.07%,Take Profit
2025-09-06 11:22:00,SHORT,4321.55,4319.70,1.86,0.04%,Take Profit
2025-09-06 11:32:00,LONG,4315.77,4318.54,2.77,0.06%,Take Profit
2025-09-06 12:01:00,LONG,4315.05,4317.34,2.29,0.05%,Take Profit
2025-09-06 12:06:00,LONG,4315.05,4306.42,-8.63,-0.20%,Stop Loss
2025-09-06 12:30:00,LONG,4305.70,4306.09,0.38,0.01%,Take Profit
2025-09-06 12:53:00,SHORT,4309.28,4307.03,2.24,0.05%,Take Profit
2025-09-06 15:10:00,SHORT,4302.72,4302.29,0.43,0.01%,Take Profit
2025-09-06 15:35:00,SHORT,4304.87,4303.23,1.65,0.04%,Take Profit
2025-09-06 15:38:00,SHORT,4305.11,4309.06,-3.95,-0.09%,Take Profit
2025-09-06 16:30:00,SHORT,4308.07,4307.84,0.22,0.01%,Take Profit
2025-09-06 17:00:00,LONG,4306.84,4298.22,-8.61,-0.20%,Stop Loss
2025-09-06 18:21:00,LONG,4289.70,4291.38,1.68,0.04%,Take Profit
2025-09-06 21:13:00,SHORT,4300.62,4298.07,2.55,0.06%,Take Profit
2025-09-06 21:22:00,LONG,4296.14,4298.08,1.93,0.05%,Take Profit
2025-09-06 21:30:00,LONG,4296.27,4287.68,-8.59,-0.20%,Stop Loss
2025-09-06 22:33:00,LONG,4292.28,4295.08,2.79,0.07%,Take Profit
2025-09-07 05:30:00,SHORT,4273.59,4273.08,0.51,0.01%,Take Profit
2025-09-07 05:37:00,LONG,4270.71,4272.00,1.29,0.03%,Take Profit
2025-09-07 07:42:00,LONG,4275.15,4272.17,-2.98,-0.07%,Take Profit
2025-09-07 08:30:00,LONG,4272.56,4273.87,1.31,0.03%,Take Profit
2025-09-07 12:50:00,SHORT,4295.67,4298.35,-2.69,-0.06%,Take Profit
2025-09-07 14:12:00,LONG,4290.07,4288.78,-1.29,-0.03%,Take Profit
2025-09-07 19:23:00,LONG,4302.53,4303.25,0.72,0.02%,Take Profit
2025-09-07 19:39:00,SHORT,4304.11,4302.48,1.63,0.04%,Take Profit
2025-09-07 19:42:00,SHORT,4304.14,4302.69,1.45,0.03%,Take Profit
2025-09-07 19:48:00,SHORT,4304.48,4306.59,-2.11,-0.05%,Take Profit
2025-09-07 23:44:00,SHORT,4302.75,4299.47,3.28,0.08%,Take Profit
2025-09-07 23:53:00,LONG,4296.46,4298.37,1.92,0.04%,Take Profit
2025-09-08 00:13:00,LONG,4294.55,4285.96,-8.59,-0.20%,Stop Loss
2025-09-10 04:01:00,LONG,4288.48,4286.42,-2.06,-0.05%,Take Profit
2025-09-10 19:31:00,LONG,4325.00,4327.60,2.60,0.06%,Take Profit
2025-09-11 10:01:00,SHORT,4367.48,4364.65,2.83,0.06%,Take Profit
2025-09-11 10:08:00,SHORT,4367.70,4376.43,-8.74,-0.20%,Stop Loss
2025-09-11 18:30:00,LONG,4420.48,4422.32,1.85,0.04%,Take Profit
2025-09-11 18:38:00,LONG,4417.93,4421.37,3.44,0.08%,Take Profit
2025-09-12 05:02:00,SHORT,4417.50,4418.34,-0.84,-0.02%,Take Profit
2025-09-12 18:51:00,SHORT,4513.99,4511.55,2.43,0.05%,Take Profit
2025-09-12 18:58:00,SHORT,4514.59,4523.62,-9.03,-0.20%,Stop Loss
2025-09-13 16:00:00,SHORT,4713.93,4716.75,-2.81,-0.06%,Take Profit
2025-09-13 20:00:00,LONG,4717.14,4715.77,-1.37,-0.03%,Take Profit
2025-09-13 20:30:00,SHORT,4716.86,4726.29,-9.43,-0.20%,Stop Loss
2025-09-14 14:02:00,SHORT,4675.99,4674.31,1.69,0.04%,Take Profit
2025-09-14 14:05:00,LONG,4670.44,4673.89,3.45,0.07%,Take Profit
2025-09-14 14:09:00,LONG,4670.51,4668.45,-2.06,-0.04%,Take Profit
2025-09-14 18:13:00,LONG,4661.82,4663.34,1.52,0.03%,Take Profit
2025-09-15 02:40:00,LONG,4607.68,4606.27,-1.41,-0.03%,Take Profit
2025-09-15 04:11:00,SHORT,4616.57,4625.80,-9.23,-0.20%,Stop Loss
2025-09-15 04:15:00,SHORT,4624.16,4618.52,5.64,0.12%,Take Profit
2025-09-15 06:40:00,SHORT,4623.51,4632.76,-9.25,-0.20%,Stop Loss
2025-09-15 06:47:00,SHORT,4632.45,4628.10,4.34,0.09%,Take Profit
2025-09-15 13:07:00,SHORT,4644.61,4653.90,-9.29,-0.20%,Stop Loss
2025-09-15 13:51:00,SHORT,4659.76,4658.14,1.62,0.03%,Take Profit
2025-09-15 14:02:00,LONG,4654.35,4657.93,3.58,0.08%,Take Profit
2025-09-15 14:04:00,SHORT,4661.77,4662.45,-0.68,-0.01%,Take Profit
2025-09-16 05:00:00,SHORT,4510.71,4508.44,2.26,0.05%,Take Profit
2025-09-16 05:03:00,LONG,4505.88,4508.30,2.42,0.05%,Take Profit
2025-09-16 05:06:00,LONG,4505.57,4507.70,2.14,0.05%,Take Profit
2025-09-16 05:09:00,SHORT,4511.39,4508.71,2.68,0.06%,Take Profit
2025-09-16 07:03:00,LONG,4508.82,4511.43,2.62,0.06%,Take Profit
2025-09-16 07:06:00,LONG,4508.23,4511.08,2.85,0.06%,Take Profit
2025-09-16 08:06:00,LONG,4517.07,4517.52,0.45,0.01%,Take Profit
2025-09-16 17:21:00,SHORT,4511.98,4509.66,2.32,0.05%,Take Profit
2025-09-16 17:25:00,LONG,4506.09,4507.40,1.31,0.03%,Take Profit
2025-09-17 07:19:00,LONG,4513.86,4504.84,-9.03,-0.20%,Stop Loss
2025-09-17 19:59:00,LONG,4489.34,4491.31,1.97,0.04%,Take Profit
2025-09-18 14:00:00,SHORT,4589.26,4586.76,2.50,0.05%,Take Profit
2025-09-18 14:07:00,LONG,4583.87,4574.70,-9.17,-0.20%,Stop Loss
2025-09-19 14:01:00,LONG,4532.72,4534.05,1.33,0.03%,Take Profit
2025-09-19 16:00:00,LONG,4536.04,4538.14,2.10,0.05%,Take Profit
2025-09-19 16:03:00,LONG,4535.91,4537.92,2.00,0.04%,Take Profit
2025-09-19 16:09:00,SHORT,4540.36,4542.54,-2.18,-0.05%,Take Profit
2025-09-19 21:00:00,SHORT,4518.56,4516.57,1.99,0.04%,Take Profit
2025-09-19 21:03:00,SHORT,4518.57,4521.30,-2.73,-0.06%,Take Profit
2025-09-20 04:50:00,LONG,4458.70,4458.37,-0.33,-0.01%,Take Profit
2025-09-20 05:02:00,LONG,4452.57,4453.32,0.76,0.02%,Take Profit
2025-09-20 08:21:00,LONG,4465.01,4464.90,-0.11,-0.00%,Take Profit
2025-09-20 12:09:00,SHORT,4464.95,4464.07,0.88,0.02%,Take Profit
2025-09-20 13:02:00,LONG,4468.80,4469.57,0.77,0.02%,Take Profit
2025-09-20 14:58:00,LONG,4470.29,4471.88,1.59,0.04%,Take Profit
2025-09-20 15:08:00,SHORT,4473.88,4472.19,1.69,0.04%,Take Profit
2025-09-20 16:32:00,SHORT,4475.99,4473.89,2.10,0.05%,Take Profit
2025-09-20 16:40:00,SHORT,4475.95,4473.99,1.97,0.04%,Take Profit
2025-09-20 16:47:00,LONG,4471.89,4462.94,-8.94,-0.20%,Stop Loss
2025-09-20 18:49:00,LONG,4463.52,4464.11,0.58,0.01%,Take Profit
2025-09-20 19:47:00,SHORT,4466.31,4467.21,-0.91,-0.02%,Take Profit
2025-09-20 21:07:00,LONG,4461.53,4462.88,1.35,0.03%,Take Profit
2025-09-20 21:11:00,SHORT,4464.70,4462.99,1.71,0.04%,Take Profit
2025-09-20 21:20:00,SHORT,4464.15,4467.05,-2.90,-0.06%,Take Profit
2025-09-21 00:01:00,SHORT,4498.55,4498.48,0.07,0.00%,Take Profit
2025-09-21 03:16:00,SHORT,4475.87,4479.68,-3.82,-0.09%,Take Profit
2025-09-21 04:39:00,SHORT,4483.47,4482.95,0.53,0.01%,Take Profit
2025-09-21 05:14:00,SHORT,4485.38,4494.35,-8.97,-0.20%,Stop Loss
2025-09-21 06:14:00,SHORT,4490.35,4488.84,1.51,0.03%,Take Profit
2025-09-21 06:18:00,SHORT,4490.74,4490.51,0.23,0.01%,Take Profit
2025-09-21 06:32:00,LONG,4488.44,4488.35,-0.10,-0.00%,Take Profit
2025-09-21 08:04:00,SHORT,4478.99,4479.97,-0.98,-0.02%,Take Profit
2025-09-21 08:21:00,LONG,4477.21,4474.29,-2.92,-0.07%,Take Profit
2025-09-21 09:10:00,LONG,4481.14,4483.32,2.18,0.05%,Take Profit
2025-09-21 09:25:00,SHORT,4485.25,4483.32,1.93,0.04%,Take Profit
2025-09-21 09:38:00,LONG,4481.34,4480.00,-1.34,-0.03%,Take Profit
2025-09-21 10:01:00,SHORT,4479.84,4481.01,-1.16,-0.03%,Take Profit
2025-09-21 10:18:00,LONG,4476.44,4467.49,-8.95,-0.20%,Stop Loss
2025-09-21 11:10:00,LONG,4474.62,4473.75,-0.87,-0.02%,Take Profit
2025-09-21 11:50:00,SHORT,4475.85,4475.05,0.80,0.02%,Take Profit
