entry_time,type,entry_price,exit_price,profit,profit_pct,reason
2025-10-19 07:50:00,LONG,3883.69,3885.36,1.67,0.04%,Take Profit (Mean)
2025-10-19 07:58:00,SHORT,3887.80,3885.85,1.95,0.05%,Take Profit (Mean)
2025-10-19 08:01:00,SHORT,3888.82,3886.10,2.72,0.07%,Take Profit (Mean)
2025-10-19 08:04:00,SHORT,3889.18,3886.18,3.00,0.08%,Take Profit (Mean)
2025-10-19 08:06:00,LONG,3882.95,3885.80,2.85,0.07%,Take Profit (Mean)
2025-10-19 12:54:00,SHORT,3900.97,3899.06,1.92,0.05%,Take Profit (Mean)
2025-10-21 08:02:00,LONG,3974.07,3966.12,-7.95,-0.20%,Stop Loss
2025-10-21 08:07:00,LONG,3967.03,3970.11,3.08,0.08%,Take Profit (Mean)
2025-10-22 13:01:00,LONG,3873.63,3875.90,2.27,0.06%,Take Profit (Mean)
2025-10-22 13:04:00,SHORT,3878.83,3875.85,2.98,0.08%,Take Profit (Mean)
2025-10-22 13:07:00,LONG,3871.24,3863.50,-7.74,-0.20%,Stop Loss
2025-10-25 16:12:00,SHORT,3929.35,3937.21,-7.86,-0.20%,Stop Loss
2025-10-25 19:00:00,LONG,3939.14,3941.16,2.02,0.05%,Take Profit (Mean)
2025-10-25 19:07:00,SHORT,3943.66,3941.07,2.59,0.07%,Take Profit (Mean)
2025-10-25 22:23:00,SHORT,3945.45,3942.88,2.57,0.07%,Take Profit (Mean)
2025-10-25 22:28:00,LONG,3938.89,3935.74,-3.15,-0.08%,Take Profit (Mean)
2025-10-25 23:32:00,LONG,3927.46,3929.62,2.17,0.06%,Take Profit (Mean)
2025-10-25 23:40:00,SHORT,3932.77,3930.24,2.53,0.06%,Take Profit (Mean)
2025-10-25 23:54:00,LONG,3926.96,3930.01,3.05,0.08%,Take Profit (Mean)
2025-10-26 04:15:00,LONG,3954.43,3956.32,1.89,0.05%,Take Profit (Mean)
2025-10-26 06:40:00,SHORT,3954.43,3962.34,-7.91,-0.20%,Stop Loss
2025-10-26 07:51:00,LONG,3949.64,3951.85,2.21,0.06%,Take Profit (Mean)
2025-10-26 08:02:00,LONG,3948.49,3948.72,0.23,0.01%,Take Profit (Mean)
2025-10-26 09:48:00,LONG,3946.11,3938.22,-7.89,-0.20%,Stop Loss
2025-10-26 11:06:00,LONG,3923.77,3925.92,2.15,0.05%,Take Profit (Mean)
2025-10-26 12:22:00,SHORT,3931.36,3933.19,-1.84,-0.05%,Take Profit (Mean)
2025-10-26 13:10:00,SHORT,3939.61,3938.43,1.18,0.03%,Take Profit (Mean)
2025-10-26 13:29:00,SHORT,3940.52,3939.39,1.14,0.03%,Take Profit (Mean)
2025-10-26 13:34:00,SHORT,3941.19,3943.51,-2.32,-0.06%,Take Profit (Mean)
2025-10-26 15:02:00,LONG,3940.74,3942.29,1.56,0.04%,Take Profit (Mean)
2025-10-26 15:18:00,SHORT,3944.59,3942.91,1.67,0.04%,Take Profit (Mean)
2025-10-26 15:26:00,LONG,3941.28,3942.21,0.92,0.02%,Take Profit (Mean)
2025-10-27 01:51:00,SHORT,4065.70,4063.96,1.74,0.04%,Take Profit (Mean)
2025-10-27 01:53:00,LONG,4061.57,4061.53,-0.05,-0.00%,Take Profit (Mean)
2025-10-27 04:02:00,LONG,4063.50,4063.60,0.11,0.00%,Take Profit (Mean)
2025-10-29 20:07:00,SHORT,4013.54,4010.62,2.92,0.07%,Take Profit (Mean)
2025-11-01 07:15:00,LONG,3850.32,3853.17,2.85,0.07%,Take Profit (Mean)
2025-11-01 07:32:00,LONG,3849.77,3852.86,3.08,0.08%,Take Profit (Mean)
2025-11-01 14:32:00,SHORT,3856.56,3853.94,2.62,0.07%,Take Profit (Mean)
2025-11-01 17:33:00,LONG,3870.83,3873.95,3.12,0.08%,Take Profit (Mean)
2025-11-01 17:44:00,LONG,3870.23,3873.13,2.90,0.08%,Take Profit (Mean)
2025-11-01 17:48:00,SHORT,3876.74,3874.45,2.30,0.06%,Take Profit (Mean)
2025-11-01 18:33:00,SHORT,3875.33,3873.27,2.06,0.05%,Take Profit (Mean)
2025-11-01 18:43:00,SHORT,3875.94,3875.61,0.33,0.01%,Take Profit (Mean)
2025-11-01 20:21:00,LONG,3874.70,3876.47,1.77,0.05%,Take Profit (Mean)
2025-11-01 20:30:00,SHORT,3878.17,3876.89,1.28,0.03%,Take Profit (Mean)
2025-11-01 20:40:00,SHORT,3879.12,3877.55,1.56,0.04%,Take Profit (Mean)
2025-11-01 20:46:00,LONG,3875.81,3875.50,-0.30,-0.01%,Take Profit (Mean)
2025-11-01 21:11:00,SHORT,3877.23,3875.53,1.69,0.04%,Take Profit (Mean)
2025-11-01 21:18:00,SHORT,3877.43,3875.65,1.78,0.05%,Take Profit (Mean)
2025-11-01 21:20:00,LONG,3873.34,3874.02,0.67,0.02%,Take Profit (Mean)
2025-11-02 03:32:00,LONG,3870.77,3873.78,3.01,0.08%,Take Profit (Mean)
2025-11-02 03:45:00,SHORT,3875.96,3877.15,-1.19,-0.03%,Take Profit (Mean)
2025-11-02 07:57:00,SHORT,3874.19,3872.63,1.56,0.04%,Take Profit (Mean)
2025-11-02 08:02:00,LONG,3869.89,3866.75,-3.13,-0.08%,Take Profit (Mean)
2025-11-02 11:02:00,SHORT,3881.52,3879.69,1.83,0.05%,Take Profit (Mean)
2025-11-02 11:34:00,SHORT,3881.21,3878.58,2.62,0.07%,Take Profit (Mean)
2025-11-02 12:04:00,LONG,3875.52,3877.72,2.21,0.06%,Take Profit (Mean)
2025-11-02 12:11:00,SHORT,3881.96,3882.90,-0.95,-0.02%,Take Profit (Mean)
